Video_Origen	ID_Video	Usuario	Comentario	Likes	Hace cuanto tiempo
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@vivianmorerarodriguez4439	Me encantan sus videos gracias, podrías hacer uno de vocabulario legal juicio pensión alimentaria y otro de violencia doméstica. Gracias	0	2 years ago
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@francisalfaro8635	Por favor un video con vocabulario de economía 🙏🏻	1	3 years ago
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@jsonreviewing110	"Hola!

Hazme un listado con las definiciones que necesitas o el vocabulario para ponerlo dentro de la lista."	0	3 years ago
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@viryacastillo1480	LESCO es un idioma... hay gramática de LESCO y es muy distinto el español, CLARO HAY VERBOS!!! y muchos más!!!.. existe poesía  en LESCO por eso hay metáfora y muchos más!! Recomiendo sería mejor matricular en la UCR, las empresas de LESCO (únicamente los instructores sordos con certificados, son los mejores) porque ellos enseñan la regla de la gramática de LESCO. Saludos!!	0	5 years ago
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@flormavillalobos8272	El lesco debería de ser obligatorio. Incluso debería de incluirlo en las escuelas.	4	6 years ago
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@keyla8081	Buen video	1	7 years ago
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@brujula_cr	"Muchas gracias!! 
Te contamos que muy pronto estaremos subiendo nuevos episodios para que estés atenta! 😉"	0	7 years ago
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@keyla8081	ok gracias :)	0	7 years ago (edited)
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@elber-av	muy bueno, saludos	0	4 months ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@helifonseca3956	Me emociona que todos,podamos disfrutar esta melodia soy tico🤔🇨🇷🎵🎵🎵🎼🎼🎼🎼🙌🙌🙌🙌🙌🏡🍀🍀🍀	0	1 year ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@elidaortiz6891	Una joya de video, mis felicitaciones! Y, en lesco... Preciosa melodía, le llega a uno al corazón.	1	1 year ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@lorecb1969	"""Soy tico"" es una bellísima composición del maestro Carlos Guzmán y resulta aún más emocionante con su interpretación en Lesco. Mi sincera felicitación."	1	3 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@peterjeanguerrero305	Me super encanto lesco y acustico	1	3 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@auraleticiasiancoz8900	Hola tú bien música 😊😊😊😊🖒🖒🖒🎵🎵🎵🎵🎶🎶🎶🎶🎶🎼🎼🎼🎼👌👌👌👌	2	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@ismeldacruz1230	Muy lindo	1	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@tortugaveloz148	"Esencial Costa Rica.
Por eso debemos llevar muy en alto  esa marca país.
El tico es único y original y debe prevalecer su cultura para los futuros mueres y hombres que van creciendo y que mañana serán padres y embajadores de nuestra cultura y forma de ser. 
Debemos aprender y leer más y conocer más de nosotros mismos como ticos. 
La cultura general es enriquecedora, pero debemos empezar por nuestro pais por tantas cosas buenas que tenemos y que de los de agradecer a nuestros antepasados. 
Mantener nuestra cultura y nuestro legado en cada familias y en cada hogar y juntos fortalecer esa marca país que nos hace ser orgullosos de la tierra que nos vió nacer."	1	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@tortugaveloz148	"Podemos conocer otras culturas, como ticos somos pura vida, amigos de todo mundo, así es el tico de verdad.
Pero no podemos imitar lo que no es nuestro y peor aún ponernos ha copiar formas de vida y otras cosas que no son propias de nuestro pueblo."	1	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@tortugaveloz148	Como ticos somos únicos y originales, no podemos perder nuestra ideosincracia, no podemos pasar la vida imitando culturas y modas de otros países y haciendo a un lado nuestra berders forma de ser.	1	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@tortugaveloz148	"Mis respetos para ese gran músico y compositor Don Carlos Guzmán.
Siempre he creido que la letra de esa canción deberían de enseñarla en las escuelas y colegios."	4	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@Bilink.R	🤍	0	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@milenarojas2792	🇹🇭🇹🇭😈Costa Rica playo	1	4 years ago
