Video_Origen	ID_Video	Usuario	Comentario	Likes	Hace cuanto tiempo	Idioma
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@vivianmorerarodriguez4439	Me encantan sus videos gracias, podrías hacer uno de vocabulario legal juicio pensión alimentaria y otro de violencia doméstica. Gracias	0	hace 2 años	es
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@francisalfaro8635	Por favor un video con vocabulario de economía	1	hace 3 años	es
https://www.youtube.com/watch?v=-3oQizWTm6g	-3oQizWTm6g	@jsonreviewing110	Hola! Hazme un listado con las definiciones que necesitas o el vocabulario para ponerlo dentro de la lista.	0	hace 3 años	es
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@viryacastillo1480	LESCO es un idioma... hay gramática de LESCO y es muy distinto el español, CLARO HAY VERBOS!!! y muchos más!!!.. existe poesía en LESCO por eso hay metáfora y muchos más!! Recomiendo sería mejor matricular en la UCR, las empresas de LESCO (únicamente los instructores sordos con certificados, son los mejores) porque ellos enseñan la regla de la gramática de LESCO. Saludos!!	0	hace 5 años	es
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@flormavillalobos8272	El lesco debería de ser obligatorio. Incluso debería de incluirlo en las escuelas.	4	hace 6 años	es
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@keyla8081	Buen video	1	hace 7 años	es
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@brujula_cr	Muchas gracias!! Te contamos que muy pronto estaremos subiendo nuevos episodios para que estés atenta!	0	hace 7 años	es
https://www.youtube.com/watch?v=-LQTFRLGaXU	-LQTFRLGaXU	@keyla8081	ok gracias )	0	hace 7 años (editado)	pl
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@anacasas3046	Dios a Jesús	0	hace 6 meses	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@anacasas3046	Buenos tardes	0	hace 6 meses	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@anacasas3046	Hola	0	hace 6 meses	tr
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@maribelramirez5772	Wao esta fue mi primera interpretacion en lenguaje de señas!!! Al verte recuerdo las señas al momento de yo hacerlas en la clase basica de ASL. Felicidades!!!	0	hace 4 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@sayravirula5945	ALELUYA!!!	1	hace 6 años	hu
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@mariad9380	Me encantaría poder comunicarme con usted si es posible.	0	hace 7 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@mariad9380	Hola excelente traducción.	1	hace 7 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@Kalixx-z2i	Usa musicaly	1	hace 7 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@27Mancia	La gloria y honra para Dios	0	hace 6 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@27Mancia	Hola... Claro como hacemos!?	0	hace 7 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@mariad9380	O mi Facebook DA Mari	0	hace 7 años	sk
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@27Mancia	mariad9380 agregame tu, xq no me sales, Moisés Mancía Elizondo	1	hace 7 años	es
https://www.youtube.com/watch?v=-hljuZOSQRY	-hljuZOSQRY	@27Mancia	Hola muchísimas gracias!!!	0	hace 6 años	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@elber-av	muy bueno, saludos	0	hace 4 meses	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@helifonseca3956	Me emociona que todos,podamos disfrutar esta melodia soy tico	0	hace 1 año	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@elidaortiz6891	Una joya de video, mis felicitaciones! Y, en lesco... Preciosa melodía, le llega a uno al corazón.	1	hace 1 año	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@lorecb1969	Soy tico es una bellísima composición del maestro Carlos Guzmán y resulta aún más emocionante con su interpretación en Lesco. Mi sincera felicitación.	1	hace 3 años	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@peterjeanguerrero305	Me super encanto lesco y acustico	1	hace 3 años	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@auraleticiasiancoz8900	Hola tú bien música	2	hace 4 años	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@ismeldacruz1230	Muy lindo	1	hace 4 años	es
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@tortugaveloz148	Esencial Costa Rica. Por eso debemos llevar muy en alto esa marca país. El tico es único y original y debe prevalecer su cultura para los futuros mueres y hombres que van creciendo y que mañana serán padres y embajadores de nuestra cultura y forma de ser. Debemos aprender y leer más y conocer más de nosotros mismos como ticos. La cultura general es enriquecedora, pero debemos empezar por nuestro pais por tantas cosas buenas que tenemos y que de los de agradecer a nuestros antepasados. Mantener nuestra cultura y nuestro legado en cada familias y en cada hogar y juntos fortalecer esa marca país que nos hace ser orgullosos de la tierra que nos vió nacer.	1	hace 4 años	es
